ID,Module,Test Case,Expected,Status,Actual,Severity,Comment/Recommendation
LINE-01,LINE,แจ้งเตือน login LINE,ได้ข้อความ LINE,PASS,ผู้ใช้ยืนยันได้รับข้อความ,,manual verified
LINE-02,LINE,แจ้งเตือน login user/pass,ได้ข้อความ LINE,TODO,,,เพิ่ง deploy รอผู้ใช้ verify (login user/pass แล้วเช็ค LINE)
OTP-01,Auth,ขอ OTP user ไม่มีจริง,404,PASS,HTTP 404,,validation ถูกต้อง
OTP-02,Auth,ขอ OTP user มี LINE,200 ส่ง OTP,TODO,,,ไม่เทสจริงเพื่อเลี่ยง spam LINE ผู้ใช้ขณะหลับ
OTP-03,Auth,reset OTP ผิด,401,TODO,,,ต้องมี OTP จริง (manual)
USER-03,User,non-Owner สร้าง Owner,403,TODO,,,ต้อง therapist token (Phase B หลัง seed)
PERM-04,Permission,ห้ามให้สิทธิ์ที่ตัวเองไม่มี,403,TODO,,,ต้อง non-owner token (Phase B)
AUTHZ-01,Security,non-privileged เข้าถึง /user,403,TODO,,,ต้อง therapist token (Phase B)
UI-01,Frontend,ProfileModal ไม่เปิดเองหลัง login,modal ปิด,PASS,verified by user,,
UI-02,Frontend,Backdrop ไม่ปิดตอนมีข้อมูลค้าง,ไม่ปิด+เตือน,TODO,,,ต้องเทส browser (Chrome ext ยังไม่ติดตั้ง)
UI-03,Frontend,Validation กรอบแดงทุกช่อง,ทุก mandatory แดง,TODO,,,ต้องเทส browser
UI-04,Frontend,Username read-only หลังตั้ง,disabled,TODO,,,ต้องเทส browser
UI-05,Frontend,Dropdown บทบาทมีให้เลือก,4 บทบาท,PASS,roles API คืน 4 บทบาท (หลัง filter Owner),,verify ผ่าน API
USER-03,User,non-Owner(therapist) สร้าง user,403,PASS,HTTP 403,,RBAC กัน USER_CREATE ถูกต้อง (Phase B)
PERM-04,Permission,therapist แก้สิทธิ์คนอื่น,403,PASS,HTTP 403,,กัน USER_ROLE_ASSIGN ถูกต้อง
AUTHZ-01,Security,therapist เข้า GET /user,403,PASS,HTTP 403,,กัน USER_VIEW ถูกต้อง
AUTH-10,Auth,therapist แก้โปรไฟล์ตัวเอง,200,PASS,ok,,self-service ทุก role ใช้ได้
EP-DASH,Endpoint,GET /dashboard,200,PASS,object,,smoke no-500
EP-DASH2,Endpoint,GET /dashboard/schedule,200,PASS,object,,
EP-CUST,Endpoint,GET /customer,200,PASS,object,,
EP-SVC,Endpoint,GET /services,200,PASS,array,,route จริงคือ /services
EP-ROOM,Endpoint,GET /room,200,PASS,array,,
EP-THER,Endpoint,GET /therapist,200,PASS,array,,
EP-BOOK,Endpoint,GET /booking,200,PASS,object,,
EP-WALK,Endpoint,GET /walk-in,200,PASS,object,,route จริงคือ /walk-in
EP-QUEUE,Endpoint,GET /queue,200,PASS,object,,
EP-RPT1,Endpoint,GET /report/revenue,200,PASS,object,,
EP-RPT2,Endpoint,GET /report/therapist-performance,200,PASS,object,,
EP-RPT3,Endpoint,GET /report/popular-services,200,PASS,object,,
EP-TML,Endpoint,GET /timeline,200,PASS,object,,
SMOKE,Endpoint,รวม GET endpoints หา 500,0 errors,PASS,13/13 ไม่มี 500,,backend แข็งแรง ไม่มี server error
ONBOARD-01,User,สร้าง user พร้อม username+temp pw,login ได้ทันที,PASS,สร้าง+login สำเร็จ (verify FINDING-04 fix),,onboarding ครบโดยไม่ต้องรอ LINE
